memory.used [MiB], utilization.gpu [%]
22321 MiB, 97 %
pid, process_name, used_gpu_memory [MiB]
11036, C:\Windows\System32\ShellHost.exe, [N/A]
10732, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe, [N/A]
10988, C:\Windows\explorer.exe, [N/A]
11828, C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe, [N/A]
5972, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe, [N/A]
14628, C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe, [N/A]
14884, C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe, [N/A]
18040, C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26072.255.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe, [N/A]
19068, C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe, [N/A]
7964, C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe, [N/A]
6204, C:\Users\alileus\AppData\Local\Discord\app-1.0.9258\Discord.exe, [N/A]
26200, C:\Program Files\LGHUB\system_tray\lghub_system_tray.exe, [N/A]
23348, C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe, [N/A]
24824, C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2607.23.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe, [N/A]
19688, C:\Program Files (x86)\Microsoft\EdgeWebView\Application\153.0.4234.48\msedgewebview2.exe, [N/A]
9720, C:\Program Files\Google\Chrome\Application\chrome.exe, [N/A]
31328, C:\Users\alileus\AppData\Local\Programs\Microsoft VS Code\Code.exe, [N/A]
38440, C:\Program Files\WindowsApps\Claude_2.7032.0.0_x64__pzs8sxrjxfjjc\app\claude.exe, [N/A]
12928, C:\Program Files\WindowsApps\OpenAI.Codex_26.917.9434.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe, [N/A]
29836, C:\Program Files\WindowsApps\Claude_2.7032.0.0_x64__pzs8sxrjxfjjc\app\claude.exe, [N/A]
15364, C:\Users\alileus\AppData\Local\OpenAI\Codex\runtimes\cua_node\13827bafdc0b5422\bin\node_modules\@oai\sky\bin\windows\swift\x64\codex-computer-use-swift.exe, [N/A]
4312, C:\Program Files\Google\Chrome\Application\chrome.exe, [N/A]
30276, C:\Windows\System32\ApplicationFrameHost.exe, [N/A]
12948, C:\Windows\ImmersiveControlPanel\SystemSettings.exe, [N/A]
23608, C:\Users\alileus\www\q0\.tools\ollama\lib\ollama\llama-server.exe, [N/A]
